UROPI,FRANÇAIS,ENGLISH,ESPAÑOL,DEUTSCH,РУССКИЙ,ITALIANO
satizan,satisfaisant,satisfactory,satisfactorio,befriedigend,удовлетворительный,soddisfacente
satizen,"satisfait, content",satisfied,satisfecho,zufrieden,удовлетворённый,soddisfatto
satizo,"satisfaire, contenter",satisfy (to),satisfacer,zufrieden stellen,удовлетворять,soddisfare
satizo (sia - ki),"se contenter de, s'accomoder de",,,,,
sato,suffire,sufficient (to be),bastar,"genügen, reichen","хватать, хватить","bastare, essere sufficiente"
saturad,saturation,saturation,,,,
saturo,saturer,saturate (to),,,,
sauna,sauna,sauna,,,,
savad,sauvetage,"rescue, salvation","salvamento, salvación",Rettung,"спасение, спасание","salvezza, salvataggio"
savi,"sauf, sauve, sûr",safe,"seguro, salvo","sicher, gefahrlos","невредимый, безопасный","salvo, sicuro"
savi usìt,"issue, sortie de secours",emergency exit,,,,
savibuj,bouée de sauvetage,,,,,
savid,"salut (sauver), sécurité",safety,seguridad,Sicherheit,безопасность,sicurezza
saviflod,radeau de sauvetage,,,,,
savigardad,"sauvegarde, préservation",,,,,
savigardo,"sauvegarder, préserver",,,,,
savigùm,pneu de secours,,,,,
saviperi,salutaire,"salutary, beneficial",,,,
saviròl,roue de secours,spare wheel,,,,
savo sia savo,"sauver, se sauver, s'en tirer",,,,,
savor,"sauveur, sauveteur",saviour,salvador,Retter,спаситель,salvatore
sawìm,aussi bien que,,,,,
sed,"siège (pour s'asseoir), place assise",seat,asiento,Sitz,сиденье,sedile
sedad,séance,sitting,,,,
sedan,assis,"sitting, seated",,,,
sedel pl. -dle,selle,,,,,
sedia,semaine,week,semana,Woche (f),неделя,settimana
sediàl,hebdomadaire (journal),weekly (N),,,,
sediu,hebdomadaire (adj.),weekly,semanal,"wöchentlich, Wochen-","недельный, еженедельный",settimanale
sedlo,seller,,,,,
sedo,"être assis, siéger",sit (to),sentado (estar),sitzen,сидеть,sedere
sedo niz,s'asseoir,sit down (to),sentarse,setzen (sich),садиться,sedersi
sedutad,séduction,seduction,,,,
sedutan,"séduisant, alléchant","seductive, enticing",,,,
seduto,"séduire, allécher",seduce (to),,,,
sedutor,séducteur,seducer,,,,
seg,scie,saw,sierra,Säge (f),пила,sega
segad,sciage,,,,,
segipuv,sciure,,,,,
sego,scier,saw (to),serrar,sägen,пилить,segare
segor,scieur,,,,,
segoria,scierie,saw-mill,serrería,Sägemühle,лесопильный завод,segheria
seil,voile (la),sail,vela,Segel,"паруса, парус",vela
seilibat,voilier,sailing boat,barco de vela,Segelboot,парусник,barca a vela
seilo,voile (faire de la - ),sail (to),vela (practicar la -),segeln,плыть под парусами,vela (fare della)
sek,faux (N),,,,,
seko,faucher (à la faux),,,,,
sekor,faucheur (à la faux),,,,,
sekrèt,secret (N),secret (a),secreto (un),Geheimnis,"тайна, секрет",segreto (un)
sekretar,secrétaire (meuble),secretaire,"escritorio, secreter",Schreibschrank,секретер,"secrétaire, scrittoio"
sekreti,secret (adj.),secret (adj),secreto (adj),geheim,"тайный, секретный",segreto (agg)
sekretim,"en secret, secrètement",,,,,
"sekretor, -a",secrétaire (pers.),secretary,"secretario, -ia","Sekretär, -in","секретарь, секретарша","segretario, -ia"
sekretori,de secrétaire,,,,,
sekretoria,secrétariat,,,,,
seks,sexe,sex,sexo,"Geschlecht, Sex","пол, секс",sesso
seksatràj,sex-appeal,,,,,
seksen,sexué,,,,,
seksi,sexuel,sexual,sexual,"geschlechtlich, sexuell","половой, сексуальный",sessuale
seksic,sexy,sexy,,,,
seksid,sexualité,,,,,
seksiguri,"concupiscent, lubrique",,,,,
seksigurid,"concupiscence, lubricité",,,,,
seksim,sexuellement,,,,,
seksiòn,section,section,,,,
seksologij,sexologie,,,,,
seksologìst,sexologue,,,,,
sektòr,secteur,sector,,,,
sekùnd,seconde (temps),second (time),segundo (tiempo),Sekunde,секунда,secondo (tempo)
sel,chaise,chair,silla,Stuhl (m),стул,sedia
selektad,sélection,selection,,,,
selekto,sélectionner,select (to),,,,
selerij,céleri,celery,apio,Sellerie,сельдерей,sedano
semi,apparent,apparent,aparente,"anscheinend, scheinbar","видимый, кажущийся",apparente
semim,apparemment,seemingly,aparentemente,Anschein nach (dem),по-видимому,apparentemente
semli,semblable,similar,semejante,"ähnlich, gleich","по-видимому, похожий",simile
semlid,similitude,similarity,,,,
semo,"sembler, paraître",seem (to),parecer,scheinen,казаться,"sembrare, parere"
senàt,sénat,senate,,,,
senator,sénateur,senator,,,,
sendad,"envoi, expédition",,,,,
senden,envoyé (un),"envoy, correspondent",,,,
sendo,envoyer,send (to),"mandar, enviar","senden, schicken","посылать, послать","mandare, inviare, spedire"
sendo ap,renvoyer (chasser),send away (to),,,,
sendo pos,"faire, suivre",,,,,
sendo pro,"faire suivre, réexpédier (au destinataire)",,,,,
sendo ru,"renvoyer, réexpédier (à l'expéditeur)",,,,,
sendor,"envoyeur, expéditeur",sender,expedidor,Absender,отправитель,"speditore, mittente"
seni,"vieux, vieille (adj.)",old,viejo,alt,старый,vecchio
senic,vieillot,"antiquated, old-looking",,,,
senid,vieillesse,old age,vejez,Alter (hohes),старость,vecchiaia
senij,sénilité,senility,,,,
"senin, senina","vieux, vieillard, vieille (N)","old man, woman",,,,
senipeken,rassis (pain),stale,,,,
senivad,"vieillissement (personne, etc…)",,,,,
senivan,vieillissant,,,,,
seniven,vieilli (qui a vieilli),"aged, grown old",,,,
senivo,vieillir (devenir vieux),old (to get),envejecer,"altern, alt werden","стареть, стариться",invecchiare
senizad,"vieillissement (vin, etc…)",,,,,
senizen,vieilli (qu'on a fait vieillir),,,,,
senizo,vieillir (rendre vieux),,,,,
senoni,sénile,,,,,
sens,sens (les 5 - ),sense,sentido,Sinn,чувство,senso
sensasiòn,sensation,sensation,,,,
sensasioni,sensationnel,sensational,,,,
sensic,sensuel,,,,,
sensij,sensualité,,,,,
sensivi,sensible,sensitive,sensible,empfindlich,чувствительный,sensibile
sensivid,sensibilité,sensitivity,sensibilidad,Empfindlichkeit,чувствительность,sensibilità
sensivizad,sensibilisation,,,,,
sensivizo,sensibiliser,,,,,
sep,sept,seven,siete,sieben,семь,sette
sepdes,soixante-dix,seventy,setenta,siebzig,семьдесят,settanta
sepdesi,soixante-dixième (adj.),,,,,
sepdest,soixante-dixième (fraction),,,,,
sepi,septième,seventh,septimo,siebte,седьмой,settimo
sepli,aveugle (adj.),blind,ciego,blind,слепой,cieco
seplid,cécité,blindness,ceguera,Blindheit,слепота,cecità
seplim,aveuglément,blindly,,,,
"seplin, seplina",aveugle (N),,,,,
seplizo,aveugler,blind (to),cegar,"blenden, blind machen","ослеплять, ослепить",accecare
sept,septième (un),,,,,
September,septembre,September,septiembre,September,сентябрь,settembre
sereni,serein,serene,,,,
serenid,sérénité,,,,,
seric,"de, en série",serial (adj.),,,,
seric tudor,tueur en série,,,,,
serij,série,series,,,,
serios,"sérieux, grave (adj.)",serious,"serio, grave",ernst,серьёзный,serioso
seriosad,sérieux (le) (N),seriousness,,,,
seriosim,sérieusement,,,,,
serum,sérum,serum,,,,
serva,"bonne (la), domestique",maid,criada,Dienstmädchen,"горничная, служанка",cameriera
"servan, servana","domestique, serviteur servante",,,,,
servanad,domesticité,,,,,
servic,servile,,,,,
serviet,serviette (de table),napkin,servilleta,Serviette (f),салфетка,tovagliolo
servij,servilité,,,,,
servìz,"service (gen), office",service,servicio,Dienst (m),"служба, обслуживание",servizio
servo,servir,serve (to),servir,dienen,"служить, обслуживать",servire
"servor, -a","garçon (café, restaurant), serveur, -euse",,,,,
serʒan,sergent,,,,,
ses,six,six,seis,sechs,шесть,sei
sesdes,soixante,sixty,sesenta,sechzig,шестьдесят,sessanta
sesdesad,soixantaine,,,,,
sesdesi,soixantième (adj.),sixtieth,,,,
sesdest,soixantième (fraction),,,,,
sesi,sixième (adj.),sixth,sexto,sechste,шестой,sesto
sest,sixième (fraction),,,,,
sesta,soeur,sister,hermana,Schwester (f),сестра,sorella
seto,mettre (gen.),"put(to), set(to)",poner,setzen,"ставить, класть","mettere, porre"
seto niz,"poser, déposer",put down (to),"poner, deponer","hinstellen, abstellen","класть, положить (вниз)",posare
seto niz ove,pondre,lay eggs (to),,,,
seto pro,"avancer (arguments, etc…)",,,,,
seto ru,remettre (à un endroit),put back (to),,,,
seto su,mettre (vêtement),put on (to),,,,
sezòn,saison,season,estaciòn (del año),Jahreszeit (f),"время года, сезон",stagione
sezòn (hol - ),pleine saison,,,,,
sezòn (nizi - ),basse saison,,,,,
sezoni,saisonnier (adj.),,,,,
sezoni varkor,saisonnier (travailleur),,,,,
sfer,sphère,sphere,,,,
sferi,sphérique,,,,,
sfis,sifflement,,,,,
sfisad,"sifflements, sifflement prolongé",,,,,
sfisan,siffleur (adj.),,,,,
sfisèl,sifflet,,,,,
sfiso,siffler,whistle (to),"silbar, pitar",pfeifen,свистеть,fischaire
sfisor,siffleur (N),,,,,
sfor,effort,effort,esfuerzo,Anstrengung,"усилие, старание",sforzo
sforad,"acharnement, efforts",,,,,
sfori,"ardu, difficile, qui demande des efforts",strenuous,,,,
sforo,s'efforcer de,endeavour (to),esforzarse,anstregen (sich),стараться,sforzarsi
sia,"se, soi (réfléchi)",oneself,se,sich,себя,"sé, si"
sia-servìz,"libre-service, self-service",self-service,autoservicio,Selbstbedienung,самообслуживание,self-service
sìa(s),"sien, -ne(s) (à soi)",,,,,
siafedad,"confiance en soi, aplomb, assurance",self-confidence,,,,
siafedan,"qui a confiance en soi, de l'aplomb",self-confident,,,,
siamùrd,suicide,suicide,,,,
siamurdo,suicider (se -),suicide (to commit),,,,
sian,cygne,swan,,,,
sianegad,abnégation,,,,,
siang,serpent,snake,serpiente,Schlange,"змея, змей",serpente
siangan,sinueux,winding,,,,
siangi,de serpent (adj.),,,,,
siango,serpenter,"snake, wind (to)",,,,
siaregad,autonomie,autonomy,,,,
siaregan,autonome,autonomous,,,,
siavad,propriété (possession),ownership,propiedad,Eigentum,собственность,proprietà
siavi,propre (à soi),own,probio,eigen,собственный,proprio
siavic,égoïste (adj.),selfish,,,,
siavid,propriété (caractéristique),property (quality),,,,
siavisma,égoïsme,selfishness,,,,
siavìst,égoïste (N),selfish person,,,,
siavisti,égoïste (adj.),selfish,,,,
siavo,"avoir à soi, posséder",own (to),"poseer, tener","eignen, besitzen","владеть, иметь","possedere, avere"
siavokan,parlant (éloquent),,,,,
siavoli,arbitraire adj,,,,,
siavolid,arbitraire N,,,,,
siavolim,arbitrairement,,,,,
siavor,propriétaire,owner,propietario,"Eigentümer, Besitzer","владелец, хозяин",proprietario
sidra,cidre,,,,,
siedad,adéquation,,,,,
siedan,"approprié, adéquat",appropriate,,,,
siedli,"adéquat, approprié",,,,,
siedo,"aller bien, convenir, être fait pour",suit (to),"sentar, pegar","passen, stehen (gut -)","сидеть, подходить (oб одежде)",andare bene
siem,graine,seed,semilla,Samen,"семя, семена",seme
siemad,semailles (opération),sowing,,,,
sieme,semence,,,,,
siemèl,semoir,seeder,sembradora,Sämaschine,сеялка,seminatrice
siemitèm,semailles (période),,,,,
siemo,semer,sow (to),sembrar,säen,сеять,seminare
siemor,semeur,sower,,,,
siens,science,science,ciencia,Wissenschaft,наука,scienza
siensi,scientifique (adj.),scientific,cientifico,Wissenschaftlich,научный,scientifico
siensifiksiòn,science-fiction,,,,,
siensim,scientifiquement,,,,,
siensìst,"scientifique, savant (personne)",scientist,,,,
sientisma,scientisme,,,,,
sifòn,siphon,siphon,,,,
sig,signe,"sign, token","seña, signo, señal",Zeichen,знак,segno
sigàr,cigare,cigar,puro (para fumar),Zigarre,сигара,sigaro
sigaret,cigarette,cigarette,cigarillo,Zigarette (f),"сигарета, папироса",sigaretta
sigèl,"enseigne (magasin), panneau indicateur","sign, notice",,,,
"sigel, pl. -gle",sceau,,,,,
sigle,scellés,,,,,
sigliring,chevalière,,,,,
siglo,sceller,,,,,
signàl,signal,signal,señal,"Signal, Zeichen",сигнал,segnale
signalo,"signaler, émettre un signal",signal (to),señalar,"anzeigen, signalisieren",сигнализировать,segnalare
sigo,faire signe,beckon (to),,,,
"sikel, (pl.) sikle","vélo, bicyclette",,,,,
siklad,"le vélo (activité), cyclisme",,,,,
sikli,"de bicyclette, de vélo, cycliste (adj.)",,,,,
siklim,"à vélo, à bicyclette (adverbe)",,,,,
siklisport,"cyclisme, sport cycliste",,,,,
siklìst,cycliste (professionnel),,,,,
siklòn,cyclone,,,,,
siklor,cycliste (N),cyclist,,,,
"sikurel, pl. -rle",fusible,,,,,
sikùri,sûr (sûreté),,,,,
sikurid,"sécurité, sûreté",safety 2,seguridad 2,"Sicherheit, Sicherung",безопасность,sicurezza
sikurim,"sûrement, en sécurité",,,,,
silàb,syllabe,syllable,sílaba,Silbe,слог,sillaba
silabi,syllabique,syllabic,,,,
silad,silence,silence,silencio,Schweigen,"тишина, молчание",silenzio
silam,silencieusement,,,,,
silan,silencieux,silent,silencioso,"schweigsam,schweigend","тихий, молчаливый",silenzioso
silk,soie,silk,seda,Seide,шёлк,seta
silki,"de, en soie",silk (adj),seda (de - ),Seiden-,шёлковый,seta (di - )
silkic,soyeux,silky,,,,
silkifabrik,soierie (fabrique),,,,,
silkindustrij,soierie (industrie),,,,,
"silo, so silan","se taire, être silencieux",,,,,
sim,"ainsi, alors (consé-quence)",so (1),asì,so (1),"так, таким образом","così, quindi"
simbòl,symbole,symbol,símbolo,Symbol,символ,simbolo
simboli,symbolique (adj.),symbolic(al),simbólico,symbolisch,символический,simbolico
simbolik,symbolique (la) (N),,,,,
simbolim,symboliquement,,,,,
simbolisma,symbolisme,,,,,
simbolìst,symboliste (N),,,,,
simbolisti,symboliste (adj.),,,,,
simbolizad,symbolisation,,,,,
simbolizo,symboliser,symbolize (to),simbolizar,symbolisieren,символизировать,simboleggaire
simfonic,symphonique,symphonic,,,,
simfonij,symphonie,symphony,sinfonía,Symphonie,симфония,sinfonia
simfonìst,symphoniste,,,,,
simnomen,soi-disant,,,,,
simpatic,sympathique,"friendly, nice",simpático,sympathisch,симпатический,simpatico
simpatij,sympathie,"friendly, congenial, likable, nice",,,,
simte,si bien que,so that,modo (de tal - que),so daß,"так что, так чтобы",così che
simtòm,symptôme,,,,,
simtomi,symptomatique,,,,,
simtomim,symptomatiquement,,,,,
sin,"sens, signification, acception","sense, meaning","sentido, significado",Sinn (m),"смысл, значение","senso, significato"
sinad,"signification, accep-tion",meaning,significado,Bedeutung,"значение, значимость",significato
sinagòg,synagogue,synagogue,sinagoga,Synagoge,синагога,sinagoga
sinan,"significatif, signifiant (ling. & gen)",significant,,,,
sinen,signifié (gen. & ling.),,,,,
singular,singulier (gram.),singular,singular,"Einzahl, Singular",единственное число,singolare
sinipolen,significatif,meaningful,significativo,sinnvoll,многозначительный,significativo
sino,signifier,mean (to),significar,bedeuten,"значить, означать","significare, voler dire"
sintàks,syntaxe,syntax,sintaxis,Syntax,синтаксис,sintassi
sintaksi,syntaxique,,,,,
sintèz,synthèse,synthesis,síntesis,Synthese,синтез,sintesi
sintezi,synthétique,synthetic,sintético,synthetisch,синтетический,sintetico
sintezim,synthétiquement,,,,,
sintezizo,synthétiser,,,,,
sio,"se, à soi (datif)",,,,,
sior,monsieur,"mister, sir",señor,Herr (m),господин,signore
siori toilet,toilettes pour hommes,"gents, men's room",,,,
sir,seigneur,,,,,
sirad,seigneurie (titre),,,,,
siren,sirène (appareil),siren,,,,
siri,seigneurial,,,,,
siring,seringue,,,,,
siritere,seigneurie (terres),,,,,
sirk,cirque,circus,,,,
sirkijege,jeux de cirque,,,,,
siròp,sirop,"syrup, mixture",,,,
siropic,sirupeux,syrupy,,,,
sirven,argent (métal),silver,plata,Silber (n),серебро,argento
sirveni,"en, d'argent (adj.)",silver (adj),plata (de),"silbern, Silber-",серебряный,argento (d’ -)
sirvenic,"argenté, argentin (son)",,,,,
sist,soif,thirst,sed,Durst (m),жажда,sete
sistèm,système,system,sistema,System,система,sistema
sistemi,"systématique, systémique",systematic,sistemático,systematisch,систематический,sistematico
sistemim,systématiquement,,,,,
sistemizad,systématisation,,,,,
sistemizo,systématiser,,,,,
sisti,assoiffé,thirsty,,,,
sistizo,"assoiffer, altérer, donner soif",,,,,
"sisto, so sisti",avoir soif,,,,,
sitad,localisation,localization,,,,
siten,"situé, placé",,,,,
sitia,site,site,"paraje, sitio","Lage, Standort, Gebiet","сайт, местность, участок","luogo, posto, ubicazione"
sito,"situer, localiser","situate, locate (to)",,,,
situasiòn,situation,situation,situación,"Lage, Situation","ситуация, положение",situazione
siu,"son, sa, ses (à soi)",one's,su (de sí),sein (von sich),"свой, своя, своё, свои","suo, sua, suoi, sue"
siud,"us, coutume, usage, pl. = moeurs","custom, habit","uso, costumbre",Sitte,"обычай, нрав, уклад","usanza, costume"
siudad,habitude,habit,"costumbre, hábito",Gewohnheit,"привычка,","abitudine, consuetudine"
